2025-10-21T23:20:20+10:00,Vehicle Speed=0,Engine Coolant Temperature=74,Throttle Position=21.96078431372549,Intake Manifold Pressure=101,Intake Air Temperature=37,MAF Air Flow Rate=7.41,Run Time Since Engine Start=262,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=13.92
2025-10-21T23:20:23+10:00,Vehicle Speed=2,Engine Coolant Temperature=74,Throttle Position=100,Intake Manifold Pressure=107,Intake Air Temperature=37,MAF Air Flow Rate=27.43,Run Time Since Engine Start=265,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.015
2025-10-21T23:20:27+10:00,Vehicle Speed=16,Engine Coolant Temperature=74,Throttle Position=100,Intake Manifold Pressure=130,Intake Air Temperature=37,MAF Air Flow Rate=45.27,Run Time Since Engine Start=268,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=13.961
2025-10-21T23:20:30+10:00,Vehicle Speed=28,Engine Coolant Temperature=75,Throttle Position=55.68627450980392,Intake Manifold Pressure=106,Intake Air Temperature=37,MAF Air Flow Rate=10.76,Run Time Since Engine Start=272,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.008
2025-10-21T23:20:33+10:00,Vehicle Speed=24,Engine Coolant Temperature=75,Throttle Position=63.92156862745098,Intake Manifold Pressure=101,Intake Air Temperature=37,MAF Air Flow Rate=16.27,Run Time Since Engine Start=275,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=13.865
2025-10-21T23:20:37+10:00,Vehicle Speed=24,Engine Coolant Temperature=76,Throttle Position=36.86274509803921,Intake Manifold Pressure=101,Intake Air Temperature=37,MAF Air Flow Rate=32.28,Run Time Since Engine Start=278,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=13.951
2025-10-21T23:20:40+10:00,Vehicle Speed=29,Engine Coolant Temperature=76,Throttle Position=99.6078431372549,Intake Manifold Pressure=132,Intake Air Temperature=37,MAF Air Flow Rate=49,Run Time Since Engine Start=282,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.042
2025-10-21T23:20:43+10:00,Vehicle Speed=39,Engine Coolant Temperature=77,Throttle Position=100,Intake Manifold Pressure=171,Intake Air Temperature=37,MAF Air Flow Rate=65.88,Run Time Since Engine Start=285,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.006
2025-10-21T23:20:47+10:00,Vehicle Speed=44,Engine Coolant Temperature=77,Throttle Position=77.6470588235294,Intake Manifold Pressure=105,Intake Air Temperature=36,MAF Air Flow Rate=11.4,Run Time Since Engine Start=289,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=13.722
2025-10-21T23:20:50+10:00,Vehicle Speed=37,Engine Coolant Temperature=78,Throttle Position=22.745098039215687,Intake Manifold Pressure=100,Intake Air Temperature=36,MAF Air Flow Rate=7.68,Run Time Since Engine Start=292,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=12.343
