2025-10-23T21:45:59+10:00,Engine RPM=702,Vehicle Speed=0,Engine Coolant Temperature=73,Throttle Position=26.666666666666668,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=9.06,Run Time Since Engine Start=619,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.105
2025-10-23T21:46:04+10:00,Engine RPM=704,Vehicle Speed=0,Engine Coolant Temperature=73,Throttle Position=27.058823529411764,Intake Manifold Pressure=101,Intake Air Temperature=33,MAF Air Flow Rate=8.1,Run Time Since Engine Start=623,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.106
2025-10-23T21:46:07+10:00,Engine RPM=699.25,Vehicle Speed=0,Engine Coolant Temperature=73,Throttle Position=27.058823529411764,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=8.97,Run Time Since Engine Start=627,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.09
2025-10-23T21:46:11+10:00,Engine RPM=701.5,Vehicle Speed=0,Engine Coolant Temperature=73,Throttle Position=26.666666666666668,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=8.64,Run Time Since Engine Start=630,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.007
2025-10-23T21:46:15+10:00,Engine RPM=705.25,Vehicle Speed=0,Engine Coolant Temperature=73,Throttle Position=26.666666666666668,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=9.5,Run Time Since Engine Start=634,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.048
2025-10-23T21:46:18+10:00,Engine RPM=701.25,Vehicle Speed=0,Engine Coolant Temperature=73,Throttle Position=25.88235294117647,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=8.03,Run Time Since Engine Start=611,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.091
2025-10-23T21:46:22+10:00,Engine RPM=701.75,Vehicle Speed=0,Engine Coolant Temperature=73,Throttle Position=26.666666666666668,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=9.86,Run Time Since Engine Start=642,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.112
2025-10-23T21:46:26+10:00,Engine RPM=701,Vehicle Speed=0,Engine Coolant Temperature=74,Throttle Position=27.45098039215686,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=9.46,Run Time Since Engine Start=645,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.4
2025-10-23T21:46:29+10:00,Engine RPM=706.25,Vehicle Speed=0,Engine Coolant Temperature=74,Throttle Position=27.058823529411764,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=8.69,Run Time Since Engine Start=649,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.055
2025-10-23T21:46:33+10:00,Engine RPM=702.5,Vehicle Speed=0,Engine Coolant Temperature=74,Throttle Position=26.666666666666668,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=10.36,Run Time Since Engine Start=653,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.07
2025-10-23T21:46:37+10:00,Engine RPM=702.25,Vehicle Speed=0,Engine Coolant Temperature=74,Throttle Position=26.666666666666668,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=9.8,Run Time Since Engine Start=656,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14.123
2025-10-23T21:46:41+10:00,Engine RPM=704.25,Vehicle Speed=0,Engine Coolant Temperature=74,Throttle Position=27.058823529411764,Intake Manifold Pressure=100,Intake Air Temperature=33,MAF Air Flow Rate=8.13,Run Time Since Engine Start=632,Barometric Pressure=101,Catalyst Temperature Bank1 Sensor1=1000,Control Module Voltage=14
